"away","home","date","as","hs","season","hsym","asym","guid","lk"
"Oklahoma City Thunder","Memphis Grizzlies",2013-05-13,97,103,2013,"MEM","OKC","MEMOKC20130513","201305130MEM"
"Golden State Warriors","San Antonio Spurs",2013-05-14,91,109,2013,"SAS","GSW","SASGSW20130514","201305140SAS"
"New York Knicks","Indiana Pacers",2013-05-14,82,93,2013,"IND","NYK","INDNYK20130514","201305140IND"
"Chicago Bulls","Miami Heat",2013-05-15,91,94,2013,"MIA","CHI","MIACHI20130515","201305150MIA"
"Memphis Grizzlies","Oklahoma City Thunder",2013-05-15,88,84,2013,"OKC","MEM","OKCMEM20130515","201305150OKC"
"Indiana Pacers","New York Knicks",2013-05-16,75,85,2013,"NYK","IND","NYKIND20130516","201305160NYK"
"San Antonio Spurs","Golden State Warriors",2013-05-16,94,82,2013,"GSW","SAS","GSWSAS20130516","201305160GSW"
"New York Knicks","Indiana Pacers",2013-05-18,99,106,2013,"IND","NYK","INDNYK20130518","201305180IND"
"Memphis Grizzlies","San Antonio Spurs",2013-05-19,83,105,2013,"SAS","MEM","SASMEM20130519","201305190SAS"
"Memphis Grizzlies","San Antonio Spurs",2013-05-21,89,93,2013,"SAS","MEM","SASMEM20130521","201305210SAS"
"Indiana Pacers","Miami Heat",2013-05-22,102,103,2013,"MIA","IND","MIAIND20130522","201305220MIA"
"Indiana Pacers","Miami Heat",2013-05-24,97,93,2013,"MIA","IND","MIAIND20130524","201305240MIA"
"San Antonio Spurs","Memphis Grizzlies",2013-05-25,104,93,2013,"MEM","SAS","MEMSAS20130525","201305250MEM"
"Miami Heat","Indiana Pacers",2013-05-26,114,96,2013,"IND","MIA","INDMIA20130526","201305260IND"
"San Antonio Spurs","Memphis Grizzlies",2013-05-27,93,86,2013,"MEM","SAS","MEMSAS20130527","201305270MEM"
"Miami Heat","Indiana Pacers",2013-05-28,92,99,2013,"IND","MIA","INDMIA20130528","201305280IND"
"Indiana Pacers","Miami Heat",2013-05-30,79,90,2013,"MIA","IND","MIAIND20130530","201305300MIA"
"Miami Heat","Indiana Pacers",2013-06-01,77,91,2013,"IND","MIA","INDMIA20130601","201306010IND"
"Indiana Pacers","Miami Heat",2013-06-03,76,99,2013,"MIA","IND","MIAIND20130603","201306030MIA"
"San Antonio Spurs","Miami Heat",2013-06-06,92,88,2013,"MIA","SAS","MIASAS20130606","201306060MIA"
"San Antonio Spurs","Miami Heat",2013-06-09,84,103,2013,"MIA","SAS","MIASAS20130609","201306090MIA"
"Miami Heat","San Antonio Spurs",2013-06-11,77,113,2013,"SAS","MIA","SASMIA20130611","201306110SAS"
"Miami Heat","San Antonio Spurs",2013-06-13,109,93,2013,"SAS","MIA","SASMIA20130613","201306130SAS"
"Miami Heat","San Antonio Spurs",2013-06-16,104,114,2013,"SAS","MIA","SASMIA20130616","201306160SAS"
"San Antonio Spurs","Miami Heat",2013-06-18,100,103,2013,"MIA","SAS","MIASAS20130618","201306180MIA"
"San Antonio Spurs","Miami Heat",2013-06-20,88,95,2013,"MIA","SAS","MIASAS20130620","201306200MIA"
